grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
3867,132.4655065,34.3706152,1879.5,地表面,0.44,京橋川,451.0,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3868,132.4654929,34.3710657,1835.8,地表面,-0.06,京橋川,444.5,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3869,132.4654793,34.3715162,1792.3,地表面,0.04,京橋川,439.4,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3870,132.4654658,34.3719666,1749.3,地表面,0.04,京橋川,435.6,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3871,132.4654522,34.3724171,1706.6,地表面,0.04,京橋川,431.7,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3872,132.4654386,34.3728676,1664.3,地表面,0.14,京橋川,427.9,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3873,132.465425,34.3733181,1622.5,地表面,0.54,京橋川,423.9,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3874,132.4654115,34.3737685,1581.1,地表面,-0.06,京橋川,418.2,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3875,132.4653979,34.374219,1540.3,地表面,-0.06,京橋川,400.5,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3876,132.4653843,34.3746695,1500.0,地表面,0.24,京橋川,378.5,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3877,132.4653707,34.37512,1460.3,地表面,0.34,京橋川,356.6,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3878,132.4653571,34.3755704,1421.3,地表面,0.24,京橋川,334.6,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3879,132.4653436,34.3760209,1382.9,地表面,0.34,京橋川,311.0,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3880,132.46533,34.3764714,1345.4,地表面,0.54,京橋川,285.7,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3881,132.4653164,34.3769219,1308.6,地表面,0.64,京橋川,260.3,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3882,132.4653028,34.3773724,1272.8,地表面,0.44,京橋川,233.3,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
3883,132.4652892,34.3778228,1237.9,地表面,0.84,京橋川,204.3,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
3884,132.4652757,34.3782733,1204.2,地表面,1.34,京橋川,175.4,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3885,132.4652621,34.3787238,1171.5,地表面,0.94,京橋川,145.0,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3886,132.4652485,34.3791743,1140.2,地表面,1.24,京橋川,112.0,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
3887,132.4652349,34.3796247,1110.2,地表面,2.14,京橋川,79.1,00,想定区域外,1,0.5m未満,元安川・太田川
3888,132.4652213,34.3800752,1081.7,内水面,0.34,京橋川,46.1,00,想定区域外,0,想定区域外,
3889,132.4652078,34.3805257,1054.8,内水面,0.34,京橋川,13.2,00,想定区域外,0,想定区域外,
3890,132.4651942,34.3809762,1029.6,内水面,0.34,京橋川,19.8,00,想定区域外,0,想定区域外,
