grid_id,経度,緯度,市役所からの距離_m,DEM地表種別,標高_m,最近接河川,河川からの距離_m,内水浸水ランク,内水想定浸水深,外水浸水ランク_num,外水想定浸水深,最大ランク河川
4012,132.4665388,34.3724396,1761.4,地表面,0.34,京橋川,531.4,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4013,132.4665252,34.3728901,1720.5,地表面,0.04,京橋川,527.6,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4014,132.4665116,34.3733406,1680.0,地表面,-0.06,京橋川,523.2,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
4015,132.466498,34.3737911,1640.1,地表面,-0.16,京橋川,512.3,02,0.20～0.49m,2,0.5～3.0m未満,元安川・太田川
4016,132.4664845,34.3742415,1600.8,地表面,-0.06,京橋川,490.3,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4017,132.4664709,34.374692,1562.0,地表面,0.04,京橋川,468.4,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4018,132.4664573,34.3751425,1524.0,地表面,0.14,京橋川,446.4,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4019,132.4664437,34.375593,1486.6,地表面,0.34,京橋川,422.6,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4020,132.4664302,34.3760434,1450.0,地表面,0.24,京橋川,397.2,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4021,132.4664166,34.3764939,1414.2,地表面,0.44,京橋川,371.8,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4022,132.466403,34.3769444,1379.3,地表面,0.14,京橋川,343.7,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4023,132.4663895,34.3773949,1345.4,地表面,0.44,京橋川,314.8,01,0.01～0.19m,2,0.5～3.0m未満,元安川・太田川
4024,132.4663759,34.3778453,1312.4,地表面,0.74,京橋川,285.8,00,想定区域外,2,0.5～3.0m未満,元安川・太田川
